StateCode,CountyCode,SiteNum,Latitude,Longitude,Date,Time,Hour,Conc,site_catid,Year
27,137,7417,46.713694,-92.511722,2016-01-01,00:00,0,17,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,01:00,1,12,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,02:00,2,10,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,03:00,3,9,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,04:00,4,6,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,05:00,5,6,27-137-7417,2016
27,137,7001,47.523355,-92.536305,2016-01-01,00:00,0,11,27-137-7001,2016
27,137,7001,47.523355,-92.536305,2016-01-01,01:00,1,11,27-137-7001,2016
27,137,7001,47.523355,-92.536305,2016-01-01,02:00,2,11,27-137-7001,2016
27,137,7001,47.523355,-92.536305,2016-01-01,03:00,3,6,27-137-7001,2016
27,137,7001,47.523355,-92.536305,2016-01-01,04:00,4,6,27-137-7001,2016
27,137,7001,47.523355,-92.536305,2016-01-01,05:00,5,8,27-137-7001,2016
27,137,7549,46.77107,-92.11732,2016-01-01,00:00,0,16,27-137-7549,2016
27,137,7549,46.77107,-92.11732,2016-01-01,01:00,1,16,27-137-7549,2016
27,137,7549,46.77107,-92.11732,2016-01-01,02:00,2,13,27-137-7549,2016
27,137,7549,46.77107,-92.11732,2016-01-01,03:00,3,13,27-137-7549,2016
27,137,7549,46.77107,-92.11732,2016-01-01,04:00,4,10,27-137-7549,2016
27,137,7549,46.77107,-92.11732,2016-01-01,05:00,5,10,27-137-7549,2016
27,137,7554,46.743657,-92.165998,2016-01-01,00:00,0,10,27-137-7554,2016
27,137,7554,46.743657,-92.165998,2016-01-01,01:00,1,12,27-137-7554,2016
27,137,7554,46.743657,-92.165998,2016-01-01,02:00,2,12,27-137-7554,2016
27,137,7554,46.743657,-92.165998,2016-01-01,03:00,3,10,27-137-7554,2016
27,137,7554,46.743657,-92.165998,2016-01-01,04:00,4,10,27-137-7554,2016
27,137,7554,46.743657,-92.165998,2016-01-01,05:00,5,8,27-137-7554,2016
27,137,7417,46.713694,-92.511722,2016-01-01,00:00,0,0.021,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,01:00,1,0.021,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,02:00,2,0.022,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,03:00,3,0.022,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,04:00,4,0.023,27-137-7417,2016
27,137,7417,46.713694,-92.511722,2016-01-01,05:00,5,0.022,27-137-7417,2016
27,137,7550,46.81826,-92.08936,2016-01-01,00:00,0,0.024,27-137-7550,2016
27,137,7550,46.81826,-92.08936,2016-01-01,01:00,1,0.023,27-137-7550,2016
27,137,7550,46.81826,-92.08936,2016-01-01,02:00,2,0.022,27-137-7550,2016
27,137,7550,46.81826,-92.08936,2016-01-01,03:00,3,0.024,27-137-7550,2016
27,137,7550,46.81826,-92.08936,2016-01-01,04:00,4,0.024,27-137-7550,2016
27,137,7550,46.81826,-92.08936,2016-01-01,05:00,5,0.024,27-137-7550,2016
