SITENAME,CITY,ADDRESS,UTMZONE,UTMEASTING,UTMNORTH,Latitude,Longitude,MPCA_SITE_ID,AQS_Site_ID,date,wd,ws,ReportName,Parameter,DetectionLimit,Pollutant,Result,Censored
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12102,0.00191636,Antimony (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12103,0.00181221,Arsenic (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12105,0.00135395,Beryllium (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12107,0.00372857,Barium (TSP),0.0062194,FALSE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12110,9.5818e-4,Cadmium (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12112,0.00141644,Chromium (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12113,0.0014581,Cobalt (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12126,0.01183144,Iron (TSP),0.2500601,FALSE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12132,0.00143727,Manganese (TSP),0.0085342,FALSE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12136,0.00116648,Nickel (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12154,0.00199968,Selenium (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,12167,0.00726967,Zinc (TSP),0.0088372,FALSE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-05,304.8444304320884,13.353054148053555,Harding High School,14129,0.00156225,Lead (TSP) LC,0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12102,0.00191636,Antimony (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12103,0.00181221,Arsenic (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12105,0.00135395,Beryllium (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12107,0.00372857,Barium (TSP),0.0038,FALSE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12110,9.5818e-4,Cadmium (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12112,0.00141644,Chromium (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12113,0.0014581,Cobalt (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12126,0.01183144,Iron (TSP),0.1456609,FALSE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12132,0.00143727,Manganese (TSP),0.0028772,FALSE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12136,0.00116648,Nickel (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12154,0.00199968,Selenium (TSP),0,TRUE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,12167,0.00726967,Zinc (TSP),0.0121726,FALSE
Harding High School,St Paul,1540 East 6th St.,15,497169,4978434,44.95933791,-93.03589404,871,27-123-0871,2014-01-11,271.8633902644027,7.820272790581603,Harding High School,14129,0.00156225,Lead (TSP) LC,0.0018406,FALSE
