site_catid,air_monitor,start_date,year,month,ozone_8hr_ppb,pm25_avg,weekday,monitor_lat,monitor_long,sfc_wx_station,upper_air_station,temp_f_max,temp_f_avg,winddir_mode,windspd_mph_med,wind_calm,precip_in_sum,rh_avg,dewpoint_f_avg,cloud_cover_avg,overcast_height_min
27-017-7417,Fond Du Lac,2015-04-02,2015,4,46,NaN,4,46.713694,-92.511722,COQ,KINL,58.98,48.48583333333333,W,16.505,0,0,48.208333333333336,26.784166666666668,0.15,2e3
27-017-7417,Fond Du Lac,2015-04-02,2015,4,46,NaN,4,46.713694,-92.511722,COQ,KINL,58.99,48.49666666666667,W,16.555,0,0,48.083333333333336,26.694583333333334,0.15,2e3
27-017-7417,Fond Du Lac,2015-04-03,2015,4,43,NaN,5,46.713694,-92.511722,COQ,KINL,37.11,29.965416666666666,NW,11.594999999999999,0,0,47.291666666666664,10.381666666666666,0.18,2200
27-017-7417,Fond Du Lac,2015-04-03,2015,4,43,NaN,5,46.713694,-92.511722,COQ,KINL,37.1,29.940833333333334,NW,11.72,0,0,47.25,10.315416666666668,0.18,2200
27-017-7417,Fond Du Lac,2015-04-04,2015,4,44,NaN,6,46.713694,-92.511722,COQ,KINL,43.02,32.67333333333333,Calm,5.0649999999999995,0.14285714285714285,0,53.5,15.441666666666666,0.17,1900
27-017-7417,Fond Du Lac,2015-04-04,2015,4,44,NaN,6,46.713694,-92.511722,COQ,KINL,43.01,32.639583333333334,Calm,5.109999999999999,0.14285714285714285,0,53.458333333333336,15.365833333333333,0.17,1900
27-017-7417,Fond Du Lac,2015-04-05,2015,4,43,NaN,0,46.713694,-92.511722,COQ,KINL,37.41,30.5425,E,6.355,0.07142857142857142,0,56.083333333333336,16.43625,0.07,4800
27-017-7417,Fond Du Lac,2015-04-05,2015,4,43,NaN,0,46.713694,-92.511722,COQ,KINL,37.35,30.488333333333333,E,6.324999999999999,0.07142857142857142,0,56.041666666666664,16.395,0.06,4800
27-017-7417,Fond Du Lac,2015-04-06,2015,4,41,NaN,1,46.713694,-92.511722,COQ,KINL,36.25,31.93375,E,8.27,0,0.0097,53.458333333333336,15.889583333333334,0.21,2100
27-017-7417,Fond Du Lac,2015-04-06,2015,4,41,NaN,1,46.713694,-92.511722,COQ,KINL,36.23,31.903333333333332,E,8.285,0,0.0072,53.25,15.730416666666667,0.22,2100
27-017-7417,Fond Du Lac,2015-04-07,2015,4,42,NaN,2,46.713694,-92.511722,COQ,KINL,34.53,32.196666666666665,E,12.7,0,0,57.75,18.542916666666667,0.24,3100
27-017-7417,Fond Du Lac,2015-04-07,2015,4,42,NaN,2,46.713694,-92.511722,COQ,KINL,34.47,32.14458333333333,E,12.684999999999999,0,0,57.75,18.504166666666666,0.24,3100
27-017-7417,Fond Du Lac,2015-04-08,2015,4,41,NaN,3,46.713694,-92.511722,COQ,KINL,37.08,32.95458333333333,E,7.895,0,0.0063999999999999994,88.79166666666667,30.015833333333333,0.86,200
27-017-7417,Fond Du Lac,2015-04-08,2015,4,41,NaN,3,46.713694,-92.511722,COQ,KINL,37.07,32.9175,E,7.92,0,0.0059,88.875,29.994166666666665,0.86,200
27-017-7417,Fond Du Lac,2015-04-09,2015,4,37,NaN,4,46.713694,-92.511722,COQ,KINL,43.68,35.19916666666666,NE,6.375,0.14285714285714285,0,80.33333333333333,29.649166666666666,0.27,100
27-017-7417,Fond Du Lac,2015-04-09,2015,4,37,NaN,4,46.713694,-92.511722,COQ,KINL,43.79,35.17666666666667,NE,6.34,0.14285714285714285,0,80.16666666666667,29.598333333333333,0.27,100
27-017-7417,Fond Du Lac,2015-04-10,2015,4,49,NaN,5,46.713694,-92.511722,COQ,KINL,53.84,41.446666666666665,NW,8.004999999999999,0,0,60.125,24.955,0.01,100
27-017-7417,Fond Du Lac,2015-04-10,2015,4,49,NaN,5,46.713694,-92.511722,COQ,KINL,53.86,41.465833333333336,NW,8.095,0,0,59.916666666666664,24.84166666666667,0.01,100
27-017-7417,Fond Du Lac,2015-04-11,2015,4,59,NaN,6,46.713694,-92.511722,COQ,KINL,66.02,48.90291666666667,S,8.184999999999999,0.07142857142857142,0,42.916666666666664,24.56,0.04,1e4
27-017-7417,Fond Du Lac,2015-04-11,2015,4,59,NaN,6,46.713694,-92.511722,COQ,KINL,66.02,48.91583333333333,S,8.15,0.07142857142857142,0,42.791666666666664,24.441666666666666,0.05,1e4
27-017-7417,Fond Du Lac,2015-04-12,2015,4,60,NaN,0,46.713694,-92.511722,COQ,KINL,74.79,60.930416666666666,S,11.879999999999999,0,0.1114,50.75,41.024166666666666,0.13,3300
27-017-7417,Fond Du Lac,2015-04-12,2015,4,60,NaN,0,46.713694,-92.511722,COQ,KINL,74.81,60.9425,S,11.91,0,0.11120000000000001,50.583333333333336,40.95375,0.13,3300
27-017-7417,Fond Du Lac,2015-04-13,2015,4,50,NaN,1,46.713694,-92.511722,COQ,KINL,56.78,50.520833333333336,W,11.145,0,0.0173,36.708333333333336,22.637083333333333,0.14,4900
